timestamp,component,status,response_time,error_flag,error_message
2025-04-03 14:57:50.633444,CameraAPI,OK,441,0,None
2025-04-03 14:57:50.633444,TrafficEngine,OK,331,0,None
2025-04-03 14:57:50.633444,Database,OK,23,0,None
2025-04-03 14:57:50.633444,AuthService,OK,389,0,None
2025-04-03 14:57:50.633444,AnalyticsNode,OK,52,0,None
2025-04-03 15:57:50.633444,CameraAPI,OK,16,0,None
2025-04-03 15:57:50.633444,TrafficEngine,OK,244,0,None
2025-04-03 15:57:50.633444,Database,OK,144,0,None
2025-04-03 15:57:50.633444,AuthService,OK,40,0,None
2025-04-03 15:57:50.633444,AnalyticsNode,OK,210,0,None
2025-04-03 16:57:50.633444,CameraAPI,OK,418,0,None
2025-04-03 16:57:50.633444,TrafficEngine,OK,177,0,None
2025-04-03 16:57:50.633444,Database,OK,130,0,None
2025-04-03 16:57:50.633444,AuthService,OK,241,0,None
2025-04-03 16:57:50.633444,AnalyticsNode,OK,221,0,None
2025-04-03 17:57:50.633444,CameraAPI,OK,487,0,None
2025-04-03 17:57:50.633444,TrafficEngine,OK,186,0,None
2025-04-03 17:57:50.633444,Database,OK,217,0,None
2025-04-03 17:57:50.633444,AuthService,OK,385,0,None
2025-04-03 17:57:50.633444,AnalyticsNode,OK,383,0,None
2025-04-03 18:57:50.633444,CameraAPI,OK,424,0,None
2025-04-03 18:57:50.633444,TrafficEngine,OK,136,0,None
2025-04-03 18:57:50.633444,Database,OK,101,0,None
2025-04-03 18:57:50.633444,AuthService,OK,337,0,None
2025-04-03 18:57:50.633444,AnalyticsNode,OK,197,0,None
2025-04-03 19:57:50.633444,CameraAPI,OK,354,0,None
2025-04-03 19:57:50.633444,TrafficEngine,OK,420,0,None
2025-04-03 19:57:50.633444,Database,OK,45,0,None
2025-04-03 19:57:50.633444,AuthService,OK,375,0,None
2025-04-03 19:57:50.633444,AnalyticsNode,OK,403,0,None
2025-04-03 20:57:50.633444,CameraAPI,OK,148,0,None
2025-04-03 20:57:50.633444,TrafficEngine,OK,402,0,None
2025-04-03 20:57:50.633444,Database,OK,450,0,None
2025-04-03 20:57:50.633444,AuthService,OK,383,0,None
2025-04-03 20:57:50.633444,AnalyticsNode,OK,152,0,None
2025-04-03 21:57:50.633444,CameraAPI,OK,340,0,None
