timestamp,junction_id,rank_in_city,neighbor_ids,neighbor_congestion_avg,incoming_flow,outgoing_flow,network_congestion_index,global_traffic_load
2025-04-03 14:57:50.633444,J13,1,J11|J20,1.8,264,266,1.6,45086
2025-04-03 14:57:50.633444,J1,2,J14|J18,0.7,201,202,0.8,10534
2025-04-03 14:57:50.633444,J12,3,J1|J10,1.1,152,153,1.0,11303
2025-04-03 14:57:50.633444,J15,4,J17|J1,1.1,162,163,1.0,29098
2025-04-03 14:57:50.633444,J16,5,J8|J3,0.4,162,163,0.7,16947
2025-04-03 14:57:50.633444,J17,6,J18|J8,0.8,160,161,0.9,45558
2025-04-03 14:57:50.633444,J2,7,J12|J13,1.3,198,199,1.2,32759
2025-04-03 14:57:50.633444,J4,8,J10|J11,1.1,159,160,1.0,38429
2025-04-03 14:57:50.633444,J6,9,J15|J1,1.4,179,180,1.2,37469
2025-04-03 14:57:50.633444,J7,10,J15|J8,1.1,184,185,1.0,32293
2025-04-03 14:57:50.633444,J9,11,J15|J2,1.1,146,147,1.0,22011
2025-04-03 14:57:50.633444,J11,12,J5|J9,1.2,165,166,1.0,19893
2025-04-03 14:57:50.633444,J14,13,J8|J11,0.8,152,153,0.8,43679
2025-04-03 14:57:50.633444,J20,14,J16|J14,0.7,139,140,0.8,13085
2025-04-03 14:57:50.633444,J8,15,J8|J10,1.2,129,130,1.0,14030
2025-04-03 14:57:50.633444,J10,16,J17|J20,0.6,130,131,0.6,24038
2025-04-03 14:57:50.633444,J18,17,J5|J8,0.4,130,131,0.4,49489
2025-04-03 14:57:50.633444,J19,18,J2|J20,0.6,129,130,0.6,49193
2025-04-03 14:57:50.633444,J5,19,J17|J8,0.7,123,124,0.6,14307
2025-04-03 14:57:50.633444,J3,20,J14|J15,0.0,69,69,0.0,21443
2025-04-03 15:57:50.633444,J6,1,J10|J17,1.4,208,210,1.4,30484
2025-04-03 15:57:50.633444,J15,2,J7|J2,1.7,215,217,1.4,13657
2025-04-03 15:57:50.633444,J20,3,J11|J7,1.6,188,189,1.4,34506
2025-04-03 15:57:50.633444,J1,4,J13|J19,1.4,179,180,1.2,33396
2025-04-03 15:57:50.633444,J17,5,J10|J16,1.2,187,188,1.1,24536
2025-04-03 15:57:50.633444,J19,6,J10|J16,0.9,163,164,1.0,12757
2025-04-03 15:57:50.633444,J10,7,J12|J8,0.8,148,149,0.8,42598
2025-04-03 15:57:50.633444,J11,8,J19|J5,0.6,128,129,0.7,30964
2025-04-03 15:57:50.633444,J13,9,J17|J19,0.9,130,131,0.8,13927
2025-04-03 15:57:50.633444,J14,10,J12|J5,0.9,156,157,0.8,13559
2025-04-03 15:57:50.633444,J16,11,J7|J2,0.7,175,176,0.8,44840
2025-04-03 15:57:50.633444,J2,12,J20|J20,0.8,147,148,0.8,33670
2025-04-03 15:57:50.633444,J4,13,J17|J1,0.5,167,168,0.6,18433
2025-04-03 15:57:50.633444,J7,14,J4|J15,0.1,185,186,0.4,13239
2025-04-03 15:57:50.633444,J8,15,J4|J20,1.0,177,178,0.9,30849
2025-04-03 15:57:50.633444,J12,16,J8|J15,0.4,119,120,0.4,19344
2025-04-03 15:57:50.633444,J18,17,J20|J12,0.3,136,137,0.4,21096
2025-04-03 15:57:50.633444,J3,18,J20|J6,0.6,132,133,0.6,48425
2025-04-03 15:57:50.633444,J5,19,J12|J7,0.3,141,142,0.4,16396
2025-04-03 15:57:50.633444,J9,20,J6|J12,0.2,82,82,0.2,30104
2025-04-03 16:57:50.633444,J1,1,J10|J6,0.9,194,195,1.0,48448
2025-04-03 16:57:50.633444,J14,2,J5|J18,1.0,197,198,1.1,45931
2025-04-03 16:57:50.633444,J3,3,J13|J9,1.5,185,186,1.4,22720
2025-04-03 16:57:50.633444,J13,4,J7|J18,0.6,187,188,0.8,12052
