timestamp,weather,rain_intensity,visibility_level,fog_flag,festival_flag,school_peak_flag,event_flag,temperature
2025-04-03 14:57:50.633444,Clear,0.0,60,0,0,1,0,15
2025-04-03 15:57:50.633444,Clear,0.0,53,0,0,0,0,41
2025-04-03 16:57:50.633444,Clear,0.0,67,0,0,0,0,24
2025-04-03 17:57:50.633444,Clear,0.0,46,0,0,0,0,32
2025-04-03 18:57:50.633444,Cloudy,0.0,54,0,0,0,0,21
2025-04-03 19:57:50.633444,Heavy Rain,18.031114018402757,68,0,0,0,0,31
2025-04-03 20:57:50.633444,Clear,0.0,44,0,0,0,0,33
2025-04-03 21:57:50.633444,Clear,0.0,68,0,0,0,0,34
2025-04-03 22:57:50.633444,Clear,0.0,84,0,0,0,0,23
2025-04-03 23:57:50.633444,Cloudy,0.0,95,0,0,0,0,26
2025-04-04 00:57:50.633444,Rain,7.826383248965084,56,0,0,0,0,34
2025-04-04 01:57:50.633444,Cloudy,0.0,70,0,0,0,1,35
2025-04-04 02:57:50.633444,Rain,8.278639927769904,70,0,0,0,0,24
2025-04-04 03:57:50.633444,Cloudy,0.0,87,0,0,0,0,21
2025-04-04 04:57:50.633444,Clear,0.0,84,0,0,0,0,32
2025-04-04 05:57:50.633444,Clear,0.0,69,0,0,0,0,30
2025-04-04 06:57:50.633444,Clear,0.0,77,0,0,0,0,23
2025-04-04 07:57:50.633444,Rain,2.1505669101884637,95,0,0,1,0,27
2025-04-04 08:57:50.633444,Clear,0.0,78,0,0,0,0,33
2025-04-04 09:57:50.633444,Clear,0.0,91,0,0,0,0,20
2025-04-04 10:57:50.633444,Clear,0.0,98,0,0,0,0,24
2025-04-04 11:57:50.633444,Clear,0.0,67,0,0,0,0,23
2025-04-04 12:57:50.633444,Cloudy,0.0,73,0,0,0,0,21
2025-04-04 13:57:50.633444,Clear,0.0,81,0,0,0,0,33
2025-04-04 14:57:50.633444,Cloudy,0.0,46,0,0,1,0,32
2025-04-04 15:57:50.633444,Cloudy,0.0,55,0,0,0,0,28
2025-04-04 16:57:50.633444,Cloudy,0.0,61,0,0,0,0,30
2025-04-04 17:57:50.633444,Rain,9.415841733890645,44,0,0,0,0,26
2025-04-04 18:57:50.633444,Cloudy,0.0,66,0,0,0,0,23
2025-04-04 19:57:50.633444,Clear,0.0,77,0,0,0,0,37
2025-04-04 20:57:50.633444,Clear,0.0,75,0,0,0,0,29
2025-04-04 21:57:50.633444,Clear,0.0,86,0,0,0,0,33
2025-04-04 22:57:50.633444,Clear,0.0,71,0,0,0,0,26
2025-04-04 23:57:50.633444,Clear,0.0,63,0,0,0,0,37
2025-04-05 00:57:50.633444,Clear,0.0,96,0,0,0,0,30
2025-04-05 01:57:50.633444,Cloudy,0.0,57,0,0,0,0,32
2025-04-05 02:57:50.633444,Clear,0.0,85,0,0,0,1,32
2025-04-05 03:57:50.633444,Clear,0.0,60,0,0,0,0,35
2025-04-05 04:57:50.633444,Clear,0.0,57,0,0,0,0,23
2025-04-05 05:57:50.633444,Cloudy,0.0,94,0,0,0,0,20
2025-04-05 06:57:50.633444,Clear,0.0,87,0,0,0,0,34
2025-04-05 07:57:50.633444,Clear,0.0,89,0,0,0,0,29
2025-04-05 08:57:50.633444,Clear,0.0,63,0,0,0,0,37
2025-04-05 09:57:50.633444,Clear,0.0,52,0,0,0,0,34
2025-04-05 10:57:50.633444,Heavy Rain,27.86774328360579,68,0,0,0,0,31
2025-04-05 11:57:50.633444,Clear,0.0,56,0,0,0,0,25
2025-04-05 12:57:50.633444,Heavy Rain,23.25202348243871,37,0,0,0,0,27
2025-04-05 13:57:50.633444,Clear,0.0,80,0,0,0,0,33
2025-04-05 14:57:50.633444,Cloudy,0.0,55,0,0,0,0,27
2025-04-05 15:57:50.633444,Heavy Rain,42.262565326452915,37,0,0,0,0,29
2025-04-05 16:57:50.633444,Clear,0.0,92,0,0,0,0,26
2025-04-05 17:57:50.633444,Clear,0.0,72,0,0,0,0,35
2025-04-05 18:57:50.633444,Clear,0.0,62,0,0,0,0,29
2025-04-05 19:57:50.633444,Clear,0.0,84,0,0,0,0,27
2025-04-05 20:57:50.633444,Clear,0.0,97,0,0,0,0,23
2025-04-05 21:57:50.633444,Heavy Rain,15.685380932023936,51,0,0,0,0,35
2025-04-05 22:57:50.633444,Clear,0.0,58,0,0,0,0,24
