timestamp,route_id,bus_count,bus_delay,bus_avg_speed,bus_stop_density,bus_priority_flag,auto_density,auto_avg_wait,auto_demand_supply_ratio,auto_fare_dynamic
2025-04-03 14:57:50.633444,Route-1,11,29,14,1.7858123030211726,0,36,14,2.49,63
2025-04-03 14:57:50.633444,Route-2,6,8,10,1.5980009681563323,0,97,11,1.07,140
2025-04-03 14:57:50.633444,Route-3,6,24,25,2.0951196923761657,0,14,13,0.8,159
2025-04-03 14:57:50.633444,Route-4,7,0,23,2.944096551693552,0,65,17,1.93,66
2025-04-03 14:57:50.633444,Route-5,9,11,14,1.6694536859457765,0,62,5,1.81,74
2025-04-03 15:57:50.633444,Route-1,14,23,25,2.4483261314202074,0,44,14,2.32,109
2025-04-03 15:57:50.633444,Route-2,7,15,25,1.3956653719515395,0,73,5,2.39,131
2025-04-03 15:57:50.633444,Route-3,7,23,39,2.632430428657627,0,36,15,1.48,103
2025-04-03 15:57:50.633444,Route-4,12,19,14,3.205624116574368,0,30,17,1.74,99
2025-04-03 15:57:50.633444,Route-5,6,27,34,3.0145548986946595,0,93,5,2.21,168
2025-04-03 16:57:50.633444,Route-1,3,15,15,2.0835077978863525,0,45,15,0.83,204
2025-04-03 16:57:50.633444,Route-2,4,39,11,1.335977207555812,0,37,15,1.51,218
2025-04-03 16:57:50.633444,Route-3,4,18,22,2.8683819306667955,0,58,4,2.45,160
2025-04-03 16:57:50.633444,Route-4,5,22,20,2.938459053739728,0,86,18,2.38,132
2025-04-03 16:57:50.633444,Route-5,4,31,11,1.5926289159799465,0,86,5,1.2,96
2025-04-03 17:57:50.633444,Route-1,11,8,10,2.194507698527114,0,69,17,1.38,207
2025-04-03 17:57:50.633444,Route-2,2,36,21,1.4596870857694069,0,92,10,1.77,219
2025-04-03 17:57:50.633444,Route-3,0,31,34,2.202934163649627,0,73,3,0.84,203
2025-04-03 17:57:50.633444,Route-4,5,30,17,2.506195342820657,0,51,16,0.71,247
2025-04-03 17:57:50.633444,Route-5,1,5,33,3.1593896011480087,1,88,14,0.67,138
2025-04-03 18:57:50.633444,Route-1,3,17,12,2.0712065603119414,0,67,2,1.34,76
2025-04-03 18:57:50.633444,Route-2,0,18,19,3.1434962865410965,0,65,7,1.85,222
2025-04-03 18:57:50.633444,Route-3,1,24,10,1.6644461096789407,0,35,17,2.4,116
2025-04-03 18:57:50.633444,Route-4,3,31,15,1.7870622876971751,0,89,2,0.62,202
2025-04-03 18:57:50.633444,Route-5,10,10,37,2.6087517213284617,0,81,3,0.85,249
2025-04-03 19:57:50.633444,Route-1,4,21,30,3.2282925953273667,0,94,15,2.14,169
2025-04-03 19:57:50.633444,Route-2,4,35,30,2.4044540687067273,0,52,14,2.5,52
2025-04-03 19:57:50.633444,Route-3,9,0,23,3.495300417378105,0,54,10,0.88,50
2025-04-03 19:57:50.633444,Route-4,5,4,23,2.2591916501917453,1,59,6,0.73,232
2025-04-03 19:57:50.633444,Route-5,5,29,15,2.847797745359454,0,65,6,1.04,89
2025-04-03 20:57:50.633444,Route-1,14,18,29,1.4361346737237852,0,47,10,1.4,54
2025-04-03 20:57:50.633444,Route-2,13,0,32,3.372646731859769,1,14,13,1.61,189
2025-04-03 20:57:50.633444,Route-3,0,23,27,3.1090053072096833,1,45,2,1.65,201
2025-04-03 20:57:50.633444,Route-4,10,10,18,1.4517993710256973,0,13,18,2.46,175
2025-04-03 20:57:50.633444,Route-5,4,22,36,1.6260186286325014,1,47,3,2.44,94
2025-04-03 21:57:50.633444,Route-1,6,34,10,3.0314807016499152,0,19,2,1.99,233
2025-04-03 21:57:50.633444,Route-2,3,35,13,1.3392190876875074,1,64,9,1.85,147
2025-04-03 21:57:50.633444,Route-3,11,32,11,2.081058230101011,0,87,14,1.96,220
2025-04-03 21:57:50.633444,Route-4,3,22,16,2.0706400087913703,0,17,15,1.62,54
2025-04-03 21:57:50.633444,Route-5,11,25,16,2.272397210679853,0,55,3,0.7,66
2025-04-03 22:57:50.633444,Route-1,14,14,15,3.26738308895502,0,93,2,1.93,226
2025-04-03 22:57:50.633444,Route-2,3,35,29,3.014507781369667,0,76,18,1.42,170
2025-04-03 22:57:50.633444,Route-3,12,18,21,3.0309590529411903,0,98,3,1.96,72
2025-04-03 22:57:50.633444,Route-4,11,5,13,2.5757049120129363,0,42,6,1.37,54
2025-04-03 22:57:50.633444,Route-5,7,43,35,3.337343052883969,0,40,2,1.56,125
2025-04-03 23:57:50.633444,Route-1,14,6,16,2.143897124714704,1,44,7,2.43,241
2025-04-03 23:57:50.633444,Route-2,1,5,25,2.091032453280479,0,36,6,1.75,245
2025-04-03 23:57:50.633444,Route-3,12,1,24,3.4573445604556543,0,50,6,2.38,195
2025-04-03 23:57:50.633444,Route-4,13,15,34,2.003386217296791,0,66,11,2.01,158
2025-04-03 23:57:50.633444,Route-5,5,42,26,2.884421800165278,0,22,13,2.4,124
2025-04-04 00:57:50.633444,Route-1,0,38,37,3.312953866496567,0,45,15,2.17,72
2025-04-04 00:57:50.633444,Route-2,13,5,37,2.6523407705095745,0,95,15,1.17,94
2025-04-04 00:57:50.633444,Route-3,0,35,10,1.461047688319118,0,92,16,2.23,201
2025-04-04 00:57:50.633444,Route-4,13,13,34,1.229758717134991,0,43,8,1.31,55
2025-04-04 00:57:50.633444,Route-5,11,35,36,1.51551294249877,0,30,19,2.29,168
2025-04-04 01:57:50.633444,Route-1,12,22,27,1.6305007964752138,0,20,14,1.91,160
2025-04-04 01:57:50.633444,Route-2,0,15,21,1.6951558676887535,0,69,6,1.43,117
2025-04-04 01:57:50.633444,Route-3,0,37,22,1.8412216446331742,0,34,15,0.67,182
2025-04-04 01:57:50.633444,Route-4,14,27,13,2.527087336617546,1,36,7,1.79,140
2025-04-04 01:57:50.633444,Route-5,11,33,38,3.199189810771129,0,52,9,1.38,219
2025-04-04 02:57:50.633444,Route-1,10,31,37,2.110850987925111,0,73,6,1.84,110
2025-04-04 02:57:50.633444,Route-2,12,4,21,2.3823052806804426,0,84,3,1.2,156
2025-04-04 02:57:50.633444,Route-3,4,7,24,3.024904498265809,0,37,9,2.31,246
2025-04-04 02:57:50.633444,Route-4,0,8,13,1.2273538169068894,0,81,5,1.14,150
2025-04-04 02:57:50.633444,Route-5,4,14,29,2.5995501447525804,0,35,15,1.39,102
2025-04-04 03:57:50.633444,Route-1,12,1,12,2.037233587187787,0,96,7,1.94,245
